movieId,count,mean,deviation,title
356,81491,8.096022873691574,1.87762046119837,Forrest Gump (1994)
318,81482,8.82715200903267,1.5208875265413857,"Shawshank Redemption, The (1994)"
296,79672,8.377824078722764,1.9176764307819958,Pulp Fiction (1994)
593,74127,8.302683232830143,1.723758100599616,"Silence of the Lambs, The (1991)"
2571,72674,8.30819825522195,1.8257480466116482,"Matrix, The (1999)"
260,68717,8.240377199237452,1.963523859725735,Star Wars: Episode IV - A New Hope (1977)
480,64144,7.358349962584185,1.8795685198489605,Jurassic Park (1993)
527,60411,8.49515816655907,1.7495066761029499,Schindler's List (1993)
110,59184,8.004545147337119,1.9350668400087665,Braveheart (1995)
2959,58773,8.456621237643136,1.74063817975084,Fight Club (1999)
589,57379,7.89274821798916,1.825989902856957,Terminator 2: Judgment Day (1991)
1196,57361,8.288244626139711,1.886974378176561,Star Wars: Episode V - The Empire Strikes Back (1980)
1,57309,7.787415589174476,1.843103781931086,Toy Story (1995)
4993,55736,8.182377637433616,2.0020046081768976,"Lord of the Rings: The Fellowship of the Ring, The (2001)"
50,55366,8.568706426326626,1.5762399817232478,"Usual Suspects, The (1995)"
1210,54917,7.99302583899339,1.8826483064922286,Star Wars: Episode VI - Return of the Jedi (1983)
1198,54675,8.247846364883403,1.7468895109754614,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
2858,53689,8.214680847100896,1.8168936276268488,American Beauty (1999)
858,52498,8.64867233037449,1.7461100121450917,"Godfather, The (1972)"
5952,51138,8.136102311392703,1.9806973160006214,"Lord of the Rings: The Two Towers, The (2002)"
7153,50797,8.180679961415045,2.0057781291805292,"Lord of the Rings: The Return of the King, The (2003)"
47,50596,8.158332674519725,1.7094783923868175,Seven (a.k.a. Se7en) (1995)
457,49638,7.9443168540231275,1.5594542028842948,"Fugitive, The (1993)"
1270,49595,7.907752797661055,1.71889814149975,Back to the Future (1985)
780,48902,6.747863073084946,2.103102823372631,Independence Day (a.k.a. ID4) (1996)
150,48377,7.74711123054344,1.7031920658132476,Apollo 13 (1995)
608,47823,8.22284256529285,1.8132810309340102,Fargo (1996)
32,47054,7.811535682407447,1.7266293091473728,Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
2028,46783,8.08821580488639,1.8076508235842985,Saving Private Ryan (1998)
2762,46713,8.019502065806092,1.693309836424898,"Sixth Sense, The (1999)"
3578,44656,7.902946972411322,1.848484065878809,Gladiator (2000)
592,44110,6.8138063931081385,1.6903090299984889,Batman (1989)
588,43373,7.397505360477717,1.855928694682401,Aladdin (1992)
364,42745,7.634273014387648,1.874973267224242,"Lion King, The (1994)"
4306,42303,7.509656525541923,1.8878526541630491,Shrek (2001)
380,41673,6.984546348954959,1.8728289270195364,True Lies (1994)
590,41615,7.451375705875285,1.9239478685991227,Dances with Wolves (1990)
58559,41519,8.333076422842554,1.786356909725516,"Dark Knight, The (2008)"
377,41302,6.96249576291705,1.8820379703363606,Speed (1994)
4226,41195,8.299915038232795,1.602099275398409,Memento (2000)
1580,40308,7.163416691475637,1.8078522960029981,Men in Black (a.k.a. MIB) (1997)
1704,38947,8.149870336611292,1.6193367463579171,Good Will Hunting (1997)
79132,38895,8.311016840210824,1.6911366474908858,Inception (2010)
1240,38612,7.793613384440071,1.7626825963644837,"Terminator, The (1984)"
1291,37908,7.970402025957582,1.7221054759345036,Indiana Jones and the Last Crusade (1989)
1197,37863,8.258194015265563,1.8268787616856683,"Princess Bride, The (1987)"
1136,37723,8.295310553243379,1.7964542219353015,Monty Python and the Holy Grail (1975)
1721,37712,6.762303775986424,2.2809094876141436,Titanic (1997)
1265,37616,7.7835229689493834,1.7627017824175417,Groundhog Day (1993)
344,37453,5.9796812004378825,2.225028380077018,Ace Ventura: Pet Detective (1994)
6539,37227,7.578424261960405,1.8657012324271227,Pirates of the Caribbean: The Curse of the Black Pearl (2003)
648,37035,6.8032941811799645,1.793928047484073,Mission: Impossible (1996)
1036,36716,7.8664614881795405,1.739811575752229,Die Hard (1988)
541,36702,8.231676747861153,1.803159513095015,Blade Runner (1982)
1214,36357,8.111037764392002,1.791739248382359,Alien (1979)
1193,36058,8.437323201508681,1.5809840319699013,One Flew Over the Cuckoo's Nest (1975)
595,35723,7.361839711110489,1.9756429316550694,Beauty and the Beast (1991)
6377,34712,7.667953445494353,1.7703152427400886,Finding Nemo (2003)
1089,34634,8.18458739966507,1.6882873661675255,Reservoir Dogs (1992)
367,34621,6.366078391727564,1.9853618155164605,"Mask, The (1994)"
1097,34602,7.4661580255476565,1.9228859990236935,E.T. the Extra-Terrestrial (1982)
4886,34572,7.697240541478653,1.7467434523457261,"Monsters, Inc. (2001)"
4973,34320,8.202564102564102,1.8657230117791184,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)"
597,34234,6.85298241514284,1.9682658987217638,Pretty Woman (1990)
500,34194,6.772620927648125,1.9160969992969115,Mrs. Doubtfire (1993)
1221,34188,8.523517023517023,1.7599039440634803,"Godfather: Part II, The (1974)"
6874,33827,7.715641351583055,2.0229844234882948,Kill Bill: Vol. 1 (2003)
165,33731,7.013133319498384,1.7902557835445585,Die Hard: With a Vengeance (1995)
1682,33731,7.719486525747828,1.6386216712587127,"Truman Show, The (1998)"
293,33680,8.177197149643705,1.6227041206854325,Léon: The Professional (a.k.a. The Professional) (Léon) (1994)
7361,33225,8.132701279157262,1.792947766153877,Eternal Sunshine of the Spotless Mind (2004)
1527,33153,7.539890809278195,1.9134687467869205,"Fifth Element, The (1997)"
1213,32663,8.361050730184001,1.6111401940385546,Goodfellas (1990)
3793,32584,7.119322366805794,1.8129048923546822,X-Men (2000)
2716,32118,7.518151815181518,1.7582237968519785,Ghostbusters (a.k.a. Ghost Busters) (1984)
733,31979,7.3372213014790955,1.8393089118679609,"Rock, The (1996)"
231,31843,5.929937505888264,2.406799838991995,Dumb & Dumber (Dumb and Dumber) (1994)
2628,31837,6.139711656249019,2.2874156740564664,Star Wars: Episode I - The Phantom Menace (1999)
4963,31775,7.61837922895358,1.6461592651917436,Ocean's Eleven (2001)
4995,31760,7.922197732997481,1.6060077881876995,"Beautiful Mind, A (2001)"
1200,31684,7.998674409796743,1.8387986785633499,Aliens (1986)
34,31456,7.206383519837233,2.2097611390154133,Babe (1995)
2329,31157,8.280001283820651,1.5275035413843485,American History X (1998)
153,31101,5.7433201504774765,1.9238052187408903,Batman Forever (1995)
736,31040,6.378092783505155,2.009727809077689,Twister (1996)
316,30910,6.742122290520867,1.8900977231385172,Stargate (1994)
33794,30684,7.8599269977838615,1.7141100118984105,Batman Begins (2005)
8961,30562,7.709770302990642,1.803849946824186,"Incredibles, The (2004)"
3147,30482,8.055508168755331,1.6779141295674482,"Green Mile, The (1999)"
5445,30195,7.379996688193409,1.6479790253044997,Minority Report (2002)
5349,30010,6.957280906364545,1.8785586077271759,Spider-Man (2002)
2997,29943,7.866947199679391,1.8773415023046716,Being John Malkovich (1999)
1258,29931,8.055728174802045,1.7667630195183663,"Shining, The (1980)"
1206,29856,7.968381564844587,2.024784898125782,"Clockwork Orange, A (1971)"
586,29540,6.283750846310088,2.0446752113237725,Home Alone (1990)
111,29133,8.166958432018673,1.715621842527794,Taxi Driver (1976)
5418,28934,7.81755028685975,1.639616933726519,"Bourne Identity, The (2002)"
924,28820,7.962699514226232,2.081820754258331,2001: A Space Odyssey (1968)
778,28702,8.015329942164309,1.7783844621640834,Trainspotting (1996)
587,28516,6.8684247440033666,1.9832043285336818,Ghost (1990)
7438,28502,7.646445863448179,1.9868893720392422,Kill Bill: Vol. 2 (2004)
10,28265,6.84291526623032,1.7423820664332474,GoldenEye (1995)
539,28137,7.018907488360521,1.9378304859635798,Sleepless in Seattle (1993)
1073,28079,7.426831439866092,1.9218789442370983,Willy Wonka & the Chocolate Factory (1971)
5989,27935,7.85806336137462,1.4935030443380646,Catch Me If You Can (2002)
3996,27905,7.704855760616377,1.9430428265749546,"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)"
1732,27826,7.948752964853015,1.9283380805822217,"Big Lebowski, The (1998)"
1961,27813,7.800488979973394,1.572792837645601,Rain Man (1988)
349,27766,7.310379600950803,1.6409485053111454,Clear and Present Danger (1994)
1617,27749,8.126455007387653,1.6434052862300506,L.A. Confidential (1997)
253,27577,7.017840954418538,1.8735135511112952,Interview with the Vampire: The Vampire Chronicles (1994)
208,27377,5.730467180479965,2.0616601625465405,Waterworld (1995)
60069,27374,8.00986337400453,1.7912802927218867,WALL·E (2008)
4878,27181,7.908134358559288,1.8745969544081136,Donnie Darko (2001)
2918,27099,7.831359090741356,1.7453301255643021,Ferris Bueller's Day Off (1986)
912,26890,8.413127556712533,1.7972624541022366,Casablanca (1942)
750,26714,8.431608894212772,1.7675279022554706,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
357,26709,7.2816653562469575,1.8599097619201586,Four Weddings and a Funeral (1994)
3114,26536,7.622927343985529,1.9197878765657472,Toy Story 2 (1999)
1208,26370,8.229427379598029,1.7859175438555608,Apocalypse Now (1979)
39,26230,6.837476172321769,1.9815782129557922,Clueless (1995)
4896,26033,7.356316982291706,2.018019657271356,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)
44191,25990,7.816083108888034,1.7976525757765858,V for Vendetta (2006)
1222,25946,8.086795652509057,1.5889449477699717,Full Metal Jacket (1987)
59315,25671,7.667601573760274,1.8155138508460325,Iron Man (2008)
48516,25343,8.24247326677978,1.547615875856929,"Departed, The (2006)"
1923,25144,7.038975501113586,2.0679100558105805,There's Something About Mary (1998)
68954,25127,7.9271699765192825,1.7699491331150718,Up (2009)
4011,25101,8.126648340703557,1.6596498565692939,Snatch (2000)
4022,25024,7.32604699488491,1.7673815536543385,Cast Away (2000)
1246,24954,7.844754348000321,1.7270177774780253,Dead Poets Society (1989)
2683,24951,6.387439381187127,2.1910880113380666,Austin Powers: The Spy Who Shagged Me (1999)
2706,24867,6.564000482567258,2.265698723010243,American Pie (1999)
292,24760,6.8210016155088855,1.7412800429713267,Outbreak (1995)
919,24658,7.877362316489577,1.9350396948061552,"Wizard of Oz, The (1939)"
329,24615,6.645338208409506,1.9261134861662672,Star Trek: Generations (1994)
6,24588,7.709817797299496,1.7557411532869676,Heat (1995)
72998,24548,7.244500570311227,2.1479716091064143,Avatar (2009)
2115,24306,7.391878548506542,1.8194627321931482,Indiana Jones and the Temple of Doom (1984)
2,24228,6.503054317318805,1.9197028866064412,Jumanji (1995)
1387,24188,7.56478419050769,1.9500468106990492,Jaws (1975)
454,24161,6.998841107570051,1.6235279571888113,"Firm, The (1993)"
1968,24077,7.6695601611496445,1.7454164768354397,"Breakfast Club, The (1985)"
2396,24063,7.581016498358475,2.00709207544245,Shakespeare in Love (1998)
223,24050,7.694428274428274,1.951993103344135,Clerks (1994)
2324,23976,8.308683683683684,1.8718309422635717,Life Is Beautiful (La Vita è bella) (1997)
2291,23807,7.452051917503256,1.7922304858521423,Edward Scissorhands (1990)
288,23259,6.515542370695215,2.3615605892264484,Natural Born Killers (1994)
4027,23259,7.753600756696333,1.8245194384779484,"O Brother, Where Art Thou? (2000)"
1517,23254,6.822826180442075,2.1669854824347357,Austin Powers: International Man of Mystery (1997)
1784,23145,7.549708360337005,1.8041060597648912,As Good as It Gets (1997)
434,23089,6.098531768374551,1.8493930592452115,Cliffhanger (1993)
68157,23077,8.02279325735581,1.7895423709699023,Inglourious Basterds (2009)
1307,23074,7.663604056513825,1.8704973204098196,When Harry Met Sally... (1989)
6365,23064,6.693765175164759,2.114611217779354,"Matrix Reloaded, The (2003)"
185,23018,6.205708575897124,1.9215505495436165,"Net, The (1995)"
2011,22990,7.109699869508482,1.934745377759768,Back to the Future Part II (1989)
1393,22960,7.193902439024391,1.8504186642606764,Jerry Maguire (1996)
2502,22957,7.965674957529294,1.6770665923643229,Office Space (1999)
48780,22943,8.186462101730376,1.5483140502676982,"Prestige, The (2006)"
5618,22719,8.424534530569128,1.8080281452324936,Spirited Away (Sen to Chihiro no kamikakushi) (2001)
1259,22694,7.982021679739138,1.5519424310718475,Stand by Me (1986)
1917,22671,5.986061488244895,2.2620709428769215,Armageddon (1998)
109487,22634,8.19585579217107,1.8263883476362863,Interstellar (2014)
8368,22561,7.622224192190062,1.9229301388004907,Harry Potter and the Prisoner of Azkaban (2004)
1080,22484,7.976116349404021,1.788612867764317,Monty Python's Life of Brian (1979)
2355,22471,7.138311601619866,1.7983591336966425,"Bug's Life, A (1998)"
2916,22428,7.213750668806848,1.7484781080117313,Total Recall (1990)
161,22340,7.479722470904208,1.651137538681261,Crimson Tide (1995)
21,22277,7.140324101090811,1.8427027349915308,Get Shorty (1995)
32587,22271,7.560190382111266,1.962937518037872,Sin City (2005)
1610,22165,7.725693661177532,1.672093008979632,"Hunt for Red October, The (1990)"
1219,22146,8.134426081459406,1.724654389682666,Psycho (1960)
339,22111,6.998778888336123,1.863755649545139,While You Were Sleeping (1995)
3949,22066,7.987356113477748,1.8860283025494904,Requiem for a Dream (2000)
5816,22030,7.283567862006355,1.9827843140232186,Harry Potter and the Chamber of Secrets (2002)
551,21940,7.476526891522334,1.9395217048657365,"Nightmare Before Christmas, The (1993)"
2987,21899,7.083382802867711,1.8874358416030643,Who Framed Roger Rabbit? (1988)
1653,21890,7.608953860210142,1.7464405502662224,Gattaca (1997)
2012,21881,6.6745578355651025,2.029462225882119,Back to the Future Part III (1990)
1584,21638,7.369072927257602,1.9118217303278802,Contact (1997)
19,21552,5.284335560504825,2.32253359460046,Ace Ventura: When Nature Calls (1995)
1225,21085,8.139198482333413,1.691240566137588,Amadeus (1984)
5378,21079,6.107405474643009,2.277824069995711,Star Wars: Episode II - Attack of the Clones (2002)
2174,20847,7.001247181848707,1.8792836841627696,Beetlejuice (1988)
141,20757,7.0203304909187265,1.9601864497907724,"Birdcage, The (1996)"
8636,20725,6.890952955367913,1.9892777833089912,Spider-Man 2 (2004)
99114,20687,8.009764586455262,1.7489382637607642,Django Unchained (2012)
95,20642,6.154490843910474,1.9171382965343984,Broken Arrow (1996)
2791,20475,7.598339438339439,1.9391538486590902,Airplane! (1980)
54286,20474,7.838771124352838,1.7127639851955605,"Bourne Ultimatum, The (2007)"
1220,20460,7.6003421309872925,1.911439187008803,"Blues Brothers, The (1980)"
49272,20455,7.64131019310682,1.718950520263159,Casino Royale (2006)
1101,20453,6.832640688407569,2.0054215715068646,Top Gun (1986)
2797,20407,7.234086342921547,1.7829488695867062,Big (1988)
6711,20288,7.587884463722397,2.005062135142006,Lost in Translation (2003)
8360,20198,6.950935736211506,1.975293970770001,Shrek 2 (2004)
904,20162,8.475895248487253,1.5535157848005776,Rear Window (1954)
1573,20129,6.65596899995032,2.0578210926310923,Face/Off (1997)
8665,20091,7.708725299885521,1.6739960692805278,"Bourne Supremacy, The (2004)"
25,20070,7.354608868958644,2.0752360463199495,Leaving Las Vegas (1995)
3948,20058,6.789061721009074,1.985595534504332,Meet the Parents (2000)
6333,19963,7.202424485297801,1.797383723755555,X2: X-Men United (2003)
91529,19912,7.942697870630775,1.8780779670994001,"Dark Knight Rises, The (2012)"
508,19902,7.6042608783036885,1.7512965998913246,Philadelphia (1993)
6016,19894,8.36317482658088,1.6869135924383807,City of God (Cidade de Deus) (2002)
3897,19887,7.667320360034193,1.7679268359561364,Almost Famous (2000)
48394,19868,7.959834910408698,1.8189002890107488,"Pan's Labyrinth (Laberinto del fauno, El) (2006)"
17,19729,7.897612651426834,1.9310548695884904,Sense and Sensibility (1995)
1079,19715,7.6690337306619325,1.7860256571490734,"Fish Called Wanda, A (1988)"
8874,19558,7.755343082114735,1.8251020314951882,Shaun of the Dead (2004)
2710,19486,5.795853433234117,2.46344488177074,"Blair Witch Project, The (1999)"
36,19388,7.83737363317516,1.8018668222865966,Dead Man Walking (1995)
2542,19260,8.05332294911734,1.6867186641768317,"Lock, Stock & Two Smoking Barrels (1998)"
1356,19202,7.309186543068431,1.9781020813042876,Star Trek: First Contact (1996)
104,19190,6.788796248045857,2.1539211376709497,Happy Gilmore (1996)
50872,19157,7.622279062483687,1.7946757073513029,Ratatouille (2007)
788,19138,5.622165325530358,2.2013273163593294,"Nutty Professor, The (1996)"
2617,19103,6.411034915981783,2.112734098048345,"Mummy, The (1999)"
923,19091,8.18537530773663,1.9695023713292494,Citizen Kane (1941)
63082,19073,7.665233576259634,1.7636321329453772,Slumdog Millionaire (2008)
46578,19048,7.726742965140697,1.7465353523614149,Little Miss Sunshine (2006)
300,18997,7.32757803863768,1.6245005365784708,Quiz Show (1994)
2000,18949,7.387988812074516,1.741524096194036,Lethal Weapon (1987)
2692,18891,7.939971414959505,1.6806740622668956,Run Lola Run (Lola rennt) (1998)
74458,18886,7.929524515514138,1.6878327235330668,Shutter Island (2010)
40815,18848,7.535759762308999,1.9609913908823147,Harry Potter and the Goblet of Fire (2005)
1485,18777,6.476167651914577,1.9525090244159258,Liar Liar (1997)
51662,18769,7.135009856678566,2.1079646013155453,300 (2007)
3751,18762,6.977507728387166,1.9939745632778172,Chicken Run (2000)
1247,18724,8.063020722067934,1.7162309504600382,"Graduate, The (1967)"
33493,18703,6.777789659412928,2.236982373958959,Star Wars: Episode III - Revenge of the Sith (2005)
1625,18647,7.734219981766504,1.7212229062244884,"Game, The (1997)"
55820,18474,8.052289704449496,1.7695935952090638,No Country for Old Men (2007)
16,18404,7.647413605737883,1.7206574972604247,Casino (1995)
3623,18337,5.961716747559579,2.093046186918765,Mission: Impossible II (2000)
56367,18306,7.4656943078771985,1.842515234322517,Juno (2007)
62,18242,7.430709352044732,1.9672907274649145,Mr. Holland's Opus (1995)
5218,18215,7.080373318693384,1.889565724870712,Ice Age (2002)
1201,18162,8.258671952428147,1.6811656337773722,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)"
3408,18105,7.1451532725766365,1.8279773442232905,Erin Brockovich (2000)
442,18088,6.142580716497125,1.9720399255654542,Demolition Man (1993)
6934,18074,6.4199955737523515,2.231061608032168,"Matrix Revolutions, The (2003)"
474,17996,7.442487219382085,1.5158599214924608,In the Line of Fire (1993)
70286,17970,7.612966054535336,1.8645964297419126,District 9 (2009)
594,17940,7.164604236343367,1.970048932707442,Snow White and the Seven Dwarfs (1937)
3977,17923,5.5058862913574735,2.1623397129153843,Charlie's Angels (2000)
440,17918,7.201808237526509,1.627645667450417,Dave (1993)
410,17836,6.023267548777753,1.8732673552087267,Addams Family Values (1993)
1391,17814,5.940720781407881,2.184487769601231,Mars Attacks! (1996)
2700,17806,7.252723800965967,2.2238999836046665,"South Park: Bigger, Longer and Uncut (1999)"
89745,17572,7.560493967675848,2.060309391500806,"Avengers, The (2012)"
1127,17568,7.336520947176685,1.7516508678416658,"Abyss, The (1989)"
7147,17528,7.5971588315837515,1.7717108214615747,Big Fish (2003)
8644,17321,6.939553143582934,1.8228044805852825,"I, Robot (2004)"
1676,17245,6.580284140330531,2.207015456182698,Starship Troopers (1997)
337,17234,7.502437043054427,1.7415295188266744,What's Eating Gilbert Grape (1993)
3052,17152,7.250641324626866,2.02067173877129,Dogma (1999)
5995,17070,8.094786174575278,1.6503955566947432,"Pianist, The (2002)"
11,17042,7.314341039784063,1.8097901421269245,"American President, The (1995)"
4034,17023,7.595077248428597,1.762843623329536,Traffic (2000)
3481,17019,7.611845584346907,1.7411841968793662,High Fidelity (2000)
1252,16929,8.31726622954693,1.6728356760379923,Chinatown (1974)
1954,16918,7.457382669346258,1.9390239731549288,Rocky (1976)
908,16850,8.393234421364985,1.5591761454306587,North by Northwest (1959)
1090,16796,7.8072160038104315,1.6685409502525639,Platoon (1986)
3527,16762,7.313685717694786,1.844834708128041,Predator (1987)
1407,16657,6.557243201056613,2.1512186944300047,Scream (1996)
1203,16569,8.486028124811394,1.5751536739331005,12 Angry Men (1957)
1288,16558,8.017936948906874,1.8695719921536043,This Is Spinal Tap (1984)
3994,16557,6.997886090475328,1.8487918456510832,Unbreakable (2000)
1370,16548,6.894972202078801,1.7988443623335695,Die Hard 2 (1990)
134130,16489,8.066832433743707,1.6396343174410954,The Martian (2015)
368,16475,6.825553869499242,1.793697602114635,Maverick (1994)
69122,16433,7.198503012231486,2.045735631260802,"Hangover, The (2009)"
2268,16381,7.635980709358403,1.6497373337734442,"Few Good Men, A (1992)"
6502,16372,7.511116540434889,1.8071282036334704,28 Days Later (2002)
1230,16371,8.084906236637957,1.9576764981205168,Annie Hall (1977)
112852,16324,7.864493996569468,1.9080155220212933,Guardians of the Galaxy (2014)
353,16219,7.035945496023182,2.0015723837493353,"Crow, The (1994)"
1380,16206,6.625323954091077,2.2398451572032614,Grease (1978)
2712,16102,6.556949447273631,2.299608245853059,Eyes Wide Shut (1999)
2054,16092,5.437484464330102,1.9881900609714238,"Honey, I Shrunk the Kids (1989)"
68358,16090,7.676009944064637,1.863414272304319,Star Trek (2009)
45722,16056,6.9141131041355255,2.0032760768830493,Pirates of the Caribbean: Dead Man's Chest (2006)
509,15998,7.362232779097387,2.1144631988549234,"Piano, The (1993)"
1207,15986,8.292881271112224,1.7134535435477478,To Kill a Mockingbird (1962)
2194,15976,7.753067100650976,1.5494125235729128,"Untouchables, The (1987)"
903,15945,8.241643148322359,1.6510337680088478,Vertigo (1958)
1544,15928,5.996860873932697,2.0188700287192756,"Lost World: Jurassic Park, The (1997)"
4979,15833,7.54519042506158,2.0735271085064824,"Royal Tenenbaums, The (2001)"
